"Have.you.ever.celebrated.Halloween.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Angel.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Athlete.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Bat.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Cat.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Character.from.a.movie.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Character.from.a.TV.show.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Clown.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Devil.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Doll.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Dinosaur.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Ghost.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Fairy.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Food.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Frankenstein.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Mermaid.merman..","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Mouse.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Mummy.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Musician.Actor.Artist.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Ninja.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...A.pun.based.costume.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Pirate.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Police.Officer.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Politician.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Prince.Princess.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Pumpkin.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Skeleton.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Superhero.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Supervillain.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Vampire.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Witch..not.from.movie.TV.show..","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Wizard..not.from.movie.TV.show..or.Washington.Wizards..","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Zombie.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Other.monster.not.listed.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Other.animal.not.listed.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Something.else.not.listed.","Did.you.ever.go.to.haunted.houses...","Did.you.ever.go.trick.or.treating.","Why.didn.t.you.go.trick.or.treating.","Do.you.wish.you.had.gone.trick.or.treating.","How.old.were.you.when.you.started.going.trick.or.treating.","How.old.were.you.during.your.last.year.of.going.trick.or.treating.","Do.you.still.go.trick.or.treating.for.yourself.or.with.friends.","What.was.your.favorite.candy.","What.was.your.least.favorite.candy.","Why.didn.t.you.celebrate.Halloween.as.a.kid.","Each.year..do.you.usually.attend.a.Halloween.party.","Describe.Halloween.in.three.words","What.is.your.gender.","What.is.your.race.","Are.you.Hispanic.and.or.Latino.a","What.is.your.age.group.","As.a.child..was.your.birthday.between.the.start..of.school.and.Halloween..or.after.Halloween.","Which.region.of.the.US.do.you.live.in.","Do.you.still.go.trick.or.treating.for.yourself.with.friends."
"Yes","","","When you were 9 or younger","","","","","","","","When you were 9 or younger","","","","","","When you were 9 or younger","","","When you were 10 to 17","","","","","When you were 9 or younger","","","","When you were 10 to 17","","","","When you were 10 to 17","","When you were 10 to 17","","Yes","","","4-6","12-14","No","Crunch bars","Twix","","Rarely","Fun spooky candy","Male","White","No","18-24","After Halloween","Midwest",NA
"Yes","","","","","","","","","","","When you were 9 or younger","","","","","","","","","","When you were 10 to 17","","","","","","When you were 9 or younger","","When you were 9 or younger","","","","","","When you were 9 or younger;When you were 10 to 17","as a younger child (9 and under);as an older child (10-17)","Yes","","","5","14","No","Peanut butter cups","Dots","","Never","Probably for children","Male","White","No","35-44","Between start of school and Halloween","Midwest",NA
"Yes","","","","","","When you were 9 or younger","When you were 9 or younger","When you were 10 to 17","","","","When you were 10 to 17","","","","","","","","","When you were 10 to 17","","","","","","","","When you were 9 or younger","When you were 10 to 17","","","","","When you were 9 or younger;When you were 10 to 17","","Yes","","","2-4","18","","3 Musketeers ","Caramels","","Sometimes","Exciting creative humorous","Female","White","No","25-34","After Halloween","Southwest",NA
"Yes","","","","","One of these ranges, but I forget","One of these ranges, but I forget","","When you were 9 or younger","","","","","","","","","","","","","","","","","","When you were 10 to 17","","","","","","","When you were 10 to 17","","When you were 10 to 17","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","10","15","No","Reese's","Candy Corn","","Never","Fun for kids","Male","White","No","25-34","Between start of school and Halloween","Midwest",NA
"Yes","","","","","","","When you were 9 or younger","When you were 9 or younger","","","","When you were 9 or younger","","","","","","","","When you were 9 or younger","","","","","","","","","When you were 9 or younger","When you were 9 or younger","","When you were 9 or younger","","","","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","5","12",NA,"Reesse cups","Jelly Bean","","Sometimes","Great fun magic","Female","White","No","45-54","After Halloween","Southwest","Yes"
"Yes","","","","","When you were 9 or younger","","","","","","","","","","","","","","","","","","","","","When you were 10 to 17","","","","","","","","","When you were 9 or younger;When you were 10 to 17","as an older child (10-17)","Yes","","","5-7","13","No","Smarties","Those sketchy bear carmel candies","","Rarely","light- hearted scares","Male","White","No","Under 18","After Halloween","Southwest",NA
"Yes","","","","","When you were 9 or younger;When you were 10 to 17","When you were 9 or younger;When you were 10 to 17","","","","","","","","","","","","","","As an adult","When you were 10 to 17","","As an adult","","","When you were 9 or younger","When you were 9 or younger","","","","","","","","As an adult","as an older child (10-17);as an adult (18+)","Yes","","","4","16","No","Reese’s PB cups ","Laffy Taffy","","Always/almost always","Drink at parties","Male","White","No","18-24","After Halloween","Northeast",NA
"Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","When you were 10 to 17","","","","","When you were 10 to 17","","","","","No","our family didn’t care","Unsure","","",NA,"","","","Always/almost always","costume scary friends","Male","White","No","25-34","After Halloween","Midwest",""
"Yes","","When you were 9 or younger;When you were 10 to 17","","","When you were 10 to 17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","As an adult","as a younger child (9 and under);as an older child (10-17)","Yes","","","5-7","13-14","No","Reece’s ","Mounds","","Sometimes","nostalgic cozy fun","Male","White","No","25-34","After Halloween","Midwest",NA
"Yes","","","When you were 10 to 17","","","","When you were 9 or younger","When you were 10 to 17","","","When you were 9 or younger","When you were 10 to 17","When you were 9 or younger","","","","","","","","When you were 10 to 17","","","","","","","","When you were 9 or younger;When you were 10 to 17","When you were 9 or younger;When you were 10 to 17","","","","","","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","3","13",NA,"Kit kat","Smarties","","Sometimes","Best holiday ever","Female","White","No","35-44","After Halloween","Midwest","No"
"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Didn't live in an area that celebrates it","Never","Just another day","Female","White","No","45-54","After Halloween","Southwest",NA
"Yes","","","","When you were 9 or younger","","","One of these ranges, but I forget","","","","","","","","One of these ranges, but I forget","","","As an adult","","","","","","","When you were 10 to 17","When you were 9 or younger","","","One of these ranges, but I forget","When you were 10 to 17","","One of these ranges, but I forget","","","As an adult","as an older child (10-17);as an adult (18+)","Yes","","","5","13","No","Kitkat","Malted milk balls","","Sometimes","Spooky overrated dark","Female","White","No","18-24","After Halloween","Midwest",NA
"Yes","","","","","","","","","","","","","","","","","","","","","","","","","","When you were 9 or younger","","","When you were 9 or younger","","","","","","","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","3-4","13-14","No","Not sure","The gross orange and black taffy garbage","","Never","Best holiday ever","Male","White","No","25-34","After Halloween","Southeast",NA
"Yes","","","","When you were 10 to 17","","","","","","","","","","","","","","","","","","","","","When you were 9 or younger","","","","","","","","","","","","Yes","","","5-7","14","No","Anything chocolate","Anything not chocolate","","Never","Expressive exciting dangerous","Female","Asian","No","18-24","After Halloween","Southeast",NA
"Yes","","","","As an adult","","","When you were 9 or younger","","","","","","","","","","","","","","","","","When you were 9 or younger","When you were 9 or younger","","","","","","","","","","When you were 10 to 17;As an adult","as a younger child (9 and under);as an adult (18+)","Yes","","","1-2","16-17",NA,"Twix or Butterfingers","Anything with nuts","","Rarely","Candy scary friends","Female","Asian;Native Hawaiian/Other Pacific Islander","No","25-34","Between start of school and Halloween","Midwest","No"
"Yes","When you were 9 or younger","","","","As an adult","As an adult","When you were 10 to 17","As an adult","","","","When you were 9 or younger","","","","","","","","One of these ranges, but I forget","When you were 9 or younger;When you were 10 to 17;As an adult;One of these ranges, but I forget","","","","","","","","As an adult;One of these ranges, but I forget","","","One of these ranges, but I forget","","","","as an older child (10-17);as an adult (18+)","Yes","","","5-7","13","No","Reece's peanut butter cups","Skittles","","Sometimes","Awesome fun autumn","Female","White","No","45-54","After Halloween","Southwest",NA
"Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","When you were 9 or younger;As an adult","as an adult (18+)","Yes","","","3","12",NA,"Butterfinger ","Candy corn ","","Never","Not the same","Male","White","No","55+","Between start of school and Halloween","West","No"
"Yes","","","","","","When you were 10 to 17","","When you were 10 to 17","","","","","","","","","","","","","","","","","","","","","","When you were 9 or younger","","","","","When you were 10 to 17","as an older child (10-17)","Yes","","","6-7","13","No","Pixie stix","No-name candy","","Always/almost always","Fun costumes friends","Female","White","No","25-34","After Halloween","Southeast",NA
"Yes","","","","","When you were 9 or younger;When you were 10 to 17","","When you were 9 or younger","","","","","When you were 9 or younger","","","","","","","","","When you were 10 to 17","","","","When you were 10 to 17","","","","","","","","","","When you were 9 or younger","as an older child (10-17);as an adult (18+)","Yes","","","2","14","No","Milky way midnight","Black licorice","","Sometimes","Fun light-hearted crazy","Female","White","No","25-34","After Halloween","Midwest",NA
"Yes","","","","When you were 10 to 17","When you were 10 to 17","When you were 9 or younger","","","","","","When you were 9 or younger","","","","","","","","As an adult","","","","When you were 9 or younger","","","","","","","","","","","When you were 9 or younger;When you were 10 to 17;As an adult","as an older child (10-17);as an adult (18+)","Yes","","","4-6","16","No","Reese’s cups","Sixlets","","Sometimes","Spooky fun favorite","Female","White","No","18-24","Between start of school and Halloween","Northeast",NA
"Yes","","","","As an adult","When you were 10 to 17","When you were 9 or younger","","When you were 10 to 17","","","When you were 9 or younger","When you were 10 to 17","","","","As an adult","","","","","","","","When you were 9 or younger","When you were 9 or younger","When you were 9 or younger","","","When you were 10 to 17","When you were 9 or younger;When you were 10 to 17","","As an adult","","","","as an older child (10-17)","Yes","","","1-3","22",NA,"Chocolate ","Sour","","Rarely","Wonderful awesome spooky","Female","White","No","18-24","After Halloween","Northeast",""
"Yes","","","","","When you were 9 or younger;When you were 10 to 17","When you were 9 or younger;When you were 10 to 17","","","","","","","","","","","","","When you were 9 or younger;When you were 10 to 17","","","","","","","","","","","","","","","","When you were 9 or younger","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","2-4","14-17","No","Crunch Bars","Candy corn","","Sometimes","Spooky scary fun","Male","White","No","25-34","After Halloween","Northeast",NA
"Yes","","","","","When you were 10 to 17","","","","","","When you were 9 or younger","","","","","","","","","When you were 10 to 17","","","","","","","","","","","","","When you were 9 or younger;When you were 10 to 17","When you were 9 or younger;When you were 10 to 17","","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","6-8","17","No","Reeces","Whopper","","Sometimes","Spooky well-decorated costumes","Male","White","No","18-24","Between start of school and Halloween","Midwest",NA
"Yes","When you were 10 to 17","","","When you were 9 or younger","When you were 9 or younger","When you were 9 or younger","When you were 9 or younger","","","","When you were 9 or younger","When you were 10 to 17","","","","When you were 9 or younger","When you were 9 or younger","","","","","","","When you were 9 or younger","When you were 9 or younger","","","","","","","","","","","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","2","18",NA,"Twix","Gum","","Sometimes","Fun scary exciting","Female","White","No","25-34","Between start of school and Halloween","Northeast","No"
"Yes","","","","When you were 10 to 17","","When you were 9 or younger","When you were 9 or younger","When you were 9 or younger","","","","When you were 9 or younger","","","","","","","","","","","","When you were 9 or younger","","","","","When you were 10 to 17","","","","","","When you were 9 or younger;When you were 10 to 17","as an older child (10-17);as an adult (18+)","Yes","","","2","12",NA,"Sixlets","Gumballs","","Sometimes","Scary fun adventure","Female","White","No","55+","After Halloween","Midwest","No"
"Yes","","","","","When you were 10 to 17","When you were 10 to 17","","","","","When you were 10 to 17","","","","","","","","","When you were 10 to 17","","","","","","","","","","","","","","","When you were 9 or younger","as an older child (10-17)","Yes","","","6","17","No","Kit Kats","Good & Plenty","","Sometimes","spooky fun celebration","Male","White","No","18-24","Between start of school and Halloween","Southeast",NA
"Yes","","As an adult","","","When you were 9 or younger;When you were 10 to 17;As an adult","As an adult","When you were 9 or younger","","","","","When you were 9 or younger","","","","","","","","","When you were 10 to 17","","","When you were 9 or younger","When you were 9 or younger","","As an adult","","","","","","","When you were 9 or younger;As an adult","When you were 10 to 17;As an adult","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","2","12",NA,"Milkyway","Butterfinger ","","Sometimes","Festive fun creative","Female","American Indian/Alaska Native","No","18-24","After Halloween","Midwest","No"
"Yes","","When you were 9 or younger","","","As an adult","","","","","","","","When you were 10 to 17","","","","","","","As an adult","","","","","When you were 9 or younger","","","","","","","","","","","as an older child (10-17)","Yes","","","6","16","No","Milk Duds","Candy corn","","Always/almost always","Silly faux-spooky sugary","Female","White","No","25-34","After Halloween","Northeast",NA
"Yes","When you were 9 or younger","","","","","","When you were 9 or younger","","","","When you were 9 or younger","","","","","","","","","","","","","","","When you were 10 to 17","","","","When you were 9 or younger","","","","","","as an adult (18+)","Yes","","","5-15","12",NA,"Red licorice ","Sour candy","","Rarely","Spooky fun movies","Female","White","No","55+","Between start of school and Halloween","Northeast","No"
"Yes","When you were 9 or younger","","","","","When you were 9 or younger","","","When you were 9 or younger","","","","","","","","","","","","","","","","When you were 10 to 17","","","","When you were 10 to 17","","","","","","","as an older child (10-17);as an adult (18+)","Yes","","","3","16",NA,"Peanut butter kisses","Almond joys","","Sometimes","Fun candy costumes","Female","White","No","35-44","After Halloween","Midwest","Yes"
"Yes","","When you were 9 or younger","","","When you were 9 or younger;When you were 10 to 17","When you were 9 or younger;When you were 10 to 17","","When you were 9 or younger","","When you were 9 or younger","When you were 9 or younger","","","When you were 9 or younger","","","When you were 9 or younger","When you were 9 or younger;When you were 10 to 17","When you were 9 or younger","","When you were 9 or younger","","","","When you were 9 or younger","When you were 9 or younger","When you were 9 or younger","","When you were 9 or younger","","","When you were 9 or younger","","When you were 9 or younger","When you were 9 or younger","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","1","13-14","No","Reese’s cups","Candy corn","","Rarely","Spooky scary creepy","Male","White","No","18-24","After Halloween","West",NA
"Yes","","When you were 9 or younger","","When you were 10 to 17;As an adult","When you were 9 or younger;When you were 10 to 17","When you were 9 or younger;When you were 10 to 17","When you were 9 or younger","","","","","","","","","","","","","","When you were 10 to 17","","","","","","When you were 10 to 17","","When you were 10 to 17","When you were 9 or younger","","","","When you were 9 or younger","","as a younger child (9 and under);as an older child (10-17)","Yes","","","3-4","18","Yes","Reese’s ","Dots","","Never","Costumes candy spooky","Female","White","No","25-34","Between start of school and Halloween","Midwest",NA
"Yes","","","","","As an adult","When you were 10 to 17","","","","","","","","","","","","","","When you were 10 to 17;As an adult","","","","","","","","","","","","","","","","as an older child (10-17)","Yes","","","10","16","No","Milky Way","Whoppers","","Always/almost always","spooky scary skeletons","Male","White","No","25-34","Between start of school and Halloween","Southeast",NA
"Yes","","","","","","","","","","","When you were 9 or younger","","","","","","When you were 9 or younger","","","When you were 9 or younger","","","","When you were 9 or younger","","","","","When you were 9 or younger","","","","","","","as an adult (18+)","Yes","","","6","25",NA,"Anything Hershey's","Hershey's kisses","","Sometimes","Thrilling entertaining fun","Male","White","No","45-54","After Halloween","Southwest","Yes"
"Yes","","","","","When you were 9 or younger;When you were 10 to 17","When you were 9 or younger;When you were 10 to 17","","","","","","","","","","","","","","","","","","","","","When you were 9 or younger;When you were 10 to 17","","","","","","","","One of these ranges, but I forget","","Yes","","","3-5","18","Yes","Almond Joy","Anything sour","","Rarely","Candy fun spooky","Female","White","No","18-24","After Halloween","Southeast",NA
"Yes","As an adult","","","As an adult","When you were 9 or younger;When you were 10 to 17;As an adult","When you were 9 or younger;When you were 10 to 17;As an adult","","","As an adult","","As an adult","As an adult","","","As an adult","","","","When you were 9 or younger","As an adult","When you were 9 or younger;As an adult","","","When you were 9 or younger;As an adult","","","","","As an adult","As an adult","","","","","","as an older child (10-17);as an adult (18+)","Yes","","","4","17","No","","","","Always/almost always","Costume character fun","Other","Asian;White","No","25-34","Between start of school and Halloween","West",NA
"Yes","","","","","","","","","","","When you were 9 or younger","","","","","","When you were 9 or younger","","","","","","","","","","","","When you were 9 or younger","","","","","","","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","4","12",NA,"Chocolate","Gum","","Sometimes","It is awesome","Other","White","No","55+","Between start of school and Halloween","West","No"
"Yes","","","","","","When you were 9 or younger;One of these ranges, but I forget","","","","","","One of these ranges, but I forget","","","","","","","","","","","","One of these ranges, but I forget","","","","","","","","","","","One of these ranges, but I forget","as an older child (10-17)","Yes","","","5","10",NA,"Kit kat ","Dots ","","Sometimes","Spooky ghoulish sweet","Female","White","No","18-24","After Halloween","Southeast","No"
"Yes","When you were 9 or younger;As an adult","","As an adult","As an adult","","","As an adult","As an adult","","","","","","","","","","","","","As an adult","","","","","","","","As an adult","","","","As an adult","As an adult","When you were 9 or younger;As an adult","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","3-5","35-40",NA,"Reese’s peanut butter cups","Candy corn","","Always/almost always","Life made fun","Female","White","Yes","55+","After Halloween","West","No"
"Yes","","As an adult","","","When you were 9 or younger;As an adult","","","As an adult","","","","One of these ranges, but I forget","","","","","","","","","","As an adult","","When you were 9 or younger","","","","","","","","","","","When you were 9 or younger;When you were 10 to 17;As an adult;One of these ranges, but I forget","as an older child (10-17)","Yes","","","6-8","16","No","Reese’s","Sweetarts/Smarties","","Sometimes","Candy fun overrated","Female","White","No","25-34","After Halloween","Southwest",NA
"Yes","","When you were 9 or younger;When you were 10 to 17","","","When you were 9 or younger;When you were 10 to 17","When you were 9 or younger;When you were 10 to 17","","When you were 9 or younger;When you were 10 to 17","","","When you were 9 or younger","","","","","","","","When you were 9 or younger","As an adult","","","","","When you were 9 or younger","","","","","","","","","","","as an older child (10-17);as an adult (18+)","Yes","","","3","15","Yes","Gummies","Shitty raisins","","Always/almost always","spooky scary skeletons","Male","White","No","25-34","After Halloween","I do not live in the United States",NA
"Yes","When you were 9 or younger","","","","When you were 9 or younger","","","","When you were 10 to 17","","","","","","","","","When you were 10 to 17","","","","","","","","","","","","","","","","","When you were 10 to 17;As an adult","as an older child (10-17);as an adult (18+)","Yes","","","9-10","20","No","reeses","","","Sometimes","fun costumes friends","Female","White","No","25-34","Between start of school and Halloween","Midwest",NA
"Yes","","When you were 9 or younger","","","When you were 9 or younger;When you were 10 to 17","","When you were 9 or younger","","","","When you were 9 or younger;When you were 10 to 17","","","","","","","","","As an adult","When you were 10 to 17","","","","","","","","","","","","","","As an adult","as an older child (10-17)","Yes","","","4","11","No","Snickers","Licorice","","Never","Mainly for kids","Male","White","No","45-54","After Halloween","Southeast",NA
"Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","When you were 9 or younger","","No","Parents forbade it","Unsure","","","","","","","Never","Playful dark free","Male","White","No","35-44","After Halloween","Southwest",NA
"Yes","","","","When you were 9 or younger;When you were 10 to 17","When you were 9 or younger","When you were 9 or younger","","","When you were 9 or younger","","","When you were 9 or younger;When you were 10 to 17","","","","","","","","When you were 10 to 17","","","","When you were 9 or younger","","","","","When you were 10 to 17","","","When you were 10 to 17","","When you were 9 or younger;When you were 10 to 17","When you were 9 or younger;When you were 10 to 17","as an older child (10-17)","Yes","","","3","15","No","Reese's","Dots","","Sometimes","Spooky Candy Costumes","Female","White","No","18-24","After Halloween","Midwest",NA
"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","One year when I 4 years old my dad took us out to trick and treat and somehow I got lost. All I remember is sitting on a lady’s lap eating candy. Also vaguely remember my mom yelling at my dad. I was told when I got older that the police found me because the lady called to report she found me. Since then I have not really gotten into celebrateing halloween.","Rarely","Not to fun","Female","White","No","45-54","Between start of school and Halloween","Northeast",""
"Yes","","","","When you were 9 or younger","When you were 9 or younger;When you were 10 to 17;As an adult","As an adult","","","","","","When you were 9 or younger","","","","","","","","","When you were 10 to 17","","","When you were 9 or younger","","","","","","","","","As an adult","When you were 9 or younger","When you were 9 or younger;When you were 10 to 17","","No","Parents forbade it;Instead, we went to a place in the community where kids could play games and win candy.","Unsure","","","","","","","Always/almost always","Costumes fun candy","Female","White","No","18-24","Between start of school and Halloween","West",NA
"Yes","","","","","One of these ranges, but I forget","One of these ranges, but I forget","One of these ranges, but I forget","","","","","","","","","","","","","","","","","","","","One of these ranges, but I forget","","","","","","","","One of these ranges, but I forget","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","4","13",NA,"Snickers","Sugar babies","","Never","Awesome fun excitting","Female","White","Yes","35-44","After Halloween","West","No"
"Yes","","","","When you were 9 or younger;When you were 10 to 17","When you were 10 to 17;As an adult","When you were 10 to 17;As an adult","","","","","","","","","","","","When you were 10 to 17;As an adult","","","","","As an adult","","When you were 9 or younger","","","","","When you were 9 or younger;When you were 10 to 17","","","","","","as a younger child (9 and under);as an older child (10-17)","Yes","","","8-10","16","No","Jolly Rancher sticks ","Orange foam peanut things ","","Always/almost always","spooky scary fun","Female","White","No","18-24","After Halloween","Southeast",NA
"Yes","","When you were 9 or younger","","","When you were 10 to 17","","","","","When you were 9 or younger","","","","","","","","","","","","","","","","When you were 9 or younger","When you were 10 to 17","","","","","","","","","","Yes","","","4-6","12","No","Snickers","Candy Corn","","Never","Boring Overdone Commercial","Male","White","No","18-24","After Halloween","Midwest",NA
"Yes","","When you were 9 or younger","","","","When you were 9 or younger","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","as an older child (10-17)","Yes","","","5","5-7",NA,"m$m","reese","","Sometimes","for the dead","Male","Asian","No","45-54","Between start of school and Halloween","West","No"
"Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","When you were 9 or younger;When you were 10 to 17","","","","When you were 9 or younger","When you were 10 to 17","as an older child (10-17)","Yes","","","6-7","13-15","No","Reese's","Tootsie Rolls","","Rarely","Fun commercialized expensive","Female","White","No","25-34","After Halloween","Southeast",NA
"Yes","","","","","","When you were 9 or younger","","","","","","","","","","","","","When you were 9 or younger","","","","","","","","","","","","","","","","","as a younger child (9 and under)","Yes","","","1-4","12","No","Those individually wrapped twizzlers","Any nut based candy","","Sometimes","Usually a dissapointment","Male","White","No","18-24","After Halloween","Southeast",NA
"Yes","","","","When you were 9 or younger;When you were 10 to 17","","","","","","","When you were 9 or younger","","When you were 9 or younger","","","","","","","","","","","When you were 9 or younger","","","","","","When you were 9 or younger;When you were 10 to 17;As an adult","","","","When you were 9 or younger;As an adult","","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","3","14","No","kitkat bar","those generic chocolate balls","","Sometimes","spooky scary skeletons","Female","White","No","25-34","After Halloween","Midwest",NA
"Yes","","","","When you were 9 or younger","","","","","","","When you were 10 to 17","When you were 9 or younger","","When you were 10 to 17","","","When you were 10 to 17","","","","","","","","","When you were 10 to 17","","","When you were 10 to 17","","","","","","","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","3","15",NA,"Baby Ruth","Candy Corn","","Always/almost always","Scarey Spooktacular Funtastic","Female","White","No","55+","Between start of school and Halloween","Southeast","Yes"
"Yes","","","","","When you were 9 or younger;When you were 10 to 17;As an adult","When you were 9 or younger;When you were 10 to 17","","","","","","","","","","","","As an adult","","","","","","","","","When you were 9 or younger;When you were 10 to 17;As an adult","When you were 10 to 17","","","","","","When you were 9 or younger","","as an older child (10-17);as an adult (18+)","Yes","","","3-4","14","No","Snickers","Candy Corn","","Always/almost always","Creative Festive Over-consumption","Male","White","No","18-24","After Halloween","I do not live in the United States",NA
"Yes","","When you were 10 to 17","","","","When you were 9 or younger","","","","","When you were 9 or younger","","","","","","","","","","","","","","","","","","","","","","","","As an adult","","Yes","","","5-7","12","No","$100,000 Grand Bars","Dum-Dum Suckers","","Rarely","Giant Marketing Ploy","Male","White","No","45-54","After Halloween","Midwest",NA
"Yes","When you were 9 or younger","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","When you were 9 or younger;When you were 10 to 17","as an older child (10-17)","Yes","","","4-6","18","","Reeses","Anything sour or gummy-like (aka things that weren't chocolate)","","Never","Nostalgic fun chocolate-stash","Female","White","No","25-34","After Halloween","Northeast",NA
"Yes","","","","When you were 10 to 17","When you were 10 to 17","When you were 9 or younger;When you were 10 to 17","","","","","","","","","","","","","When you were 10 to 17","","When you were 10 to 17","","","When you were 10 to 17","","","","","","When you were 10 to 17","","","","When you were 9 or younger","When you were 9 or younger","as an older child (10-17);as an adult (18+)","Yes","","","2-3","14","No","Kit-Kat","Licorice ","","Rarely","Fun comforting commercial","Female","White","No","18-24","After Halloween","Midwest",NA
"Yes","","","","As an adult","","","","When you were 10 to 17","","","When you were 9 or younger","","","","","","","","","","","","","","","","","","One of these ranges, but I forget","One of these ranges, but I forget","","","","","","as an older child (10-17);as an adult (18+)","Yes","","","6","16",NA,"Reeses","Dots","","Always/almost always","Fun spooky festive","Female","White","No","45-54","Between start of school and Halloween","Southeast","No"
"Yes","When you were 9 or younger","When you were 10 to 17","","","","As an adult","","As an adult","","","","As an adult","","","","","","","","","","","","","","As an adult","","","","","","","","","When you were 9 or younger;When you were 10 to 17;As an adult","as an older child (10-17)","Yes","","","4","15","No","jolly ranchers","i'm allergic to nuts so everything with nuts","","Always/almost always","alcohol party exciting","Female","White","No","18-24","After Halloween","Midwest",NA
"Yes","When you were 9 or younger","","","","When you were 10 to 17","","","","","","","When you were 9 or younger","","","","","","","","","","","","","","","","","","","","When you were 10 to 17","","When you were 9 or younger","","as an older child (10-17)","Yes","","","6-7","10-11","No","","Candy corn.","","Never","Fun exciting together","Female","White","No","25-34","After Halloween","Midwest",NA
